2026-08-09 22:40:21.298 | E-ZZIO CODE RELOCATION ENGINE START
2026-08-09 22:40:30.005 | DRY-RUN terminé — aucune modification
2026-08-09 22:40:45.429 | Execution cancelled by user
2026-08-09 22:40:45.954 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\artifacts\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.956 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\audit__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.957 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\audit\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.958 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\auth__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.960 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\auth\signers__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.961 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\autoscaling__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.962 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\autoscaling\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.963 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\bastion__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.965 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\bastion\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.966 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\batch__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.967 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\batch\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.969 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\bds__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.970 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\bds\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.971 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\blockchain__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.972 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\blockchain\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.974 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\budget__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.975 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\budget\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.976 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\capacity_management__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.977 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\capacity_management\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.978 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\certificates_management__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.980 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\certificates_management\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.981 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\certificates__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.982 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\certificates\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.984 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cims__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.985 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cims\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.986 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\circuit_breaker__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.988 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cloud_bridge__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.989 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cloud_bridge\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.990 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cloud_guard__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.991 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cloud_guard\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.992 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cloud_migrations__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.993 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cloud_migrations\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.995 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cluster_placement_groups__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.996 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\cluster_placement_groups\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.998 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\compute_cloud_at_customer__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:46.006 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\compute_cloud_at_customer\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:46.007 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\compute_instance_agent__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:46.008 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\compute_instance_agent\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
