"Category","File","Line","Reference"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","6","C:\Program Files\Git\cmd"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","7","C:\Program Files\GitHub CLI\"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","8","C:\Program Files\ImageMagick-7.1.2-Q16-HDRI"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","9","C:\Program Files\Microsoft VS Code\bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","10","C:\Program Files\nodejs\"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","11","C:\Program Files\Pandoc\"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","12","C:\Program Files\PowerShell\7"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","13","C:\Program Files\WindowsPowerShell\Scripts"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","14","C:\Program Files\WinGet\Links"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","15","C:\Users\enrik\AppData\Local\hermes\bin"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","16","C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Scripts"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","17","C:\Users\enrik\AppData\Local\Microsoft\WindowsApps"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","18","C:\Users\enrik\AppData\Local\Microsoft\WinGet\Links"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","19","C:\Users\enrik\AppData\Local\Programs\Python\Launcher\"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","20","C:\Users\enrik\AppData\Roaming\npm"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","21","C:\Users\enrik\bin"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\python_packages_20260814-151640.txt","42","hermes-agent                 0.18.2      C:\Users\enrik\AppData\Local\hermes\hermes-agent"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","1","C:\Program Files"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","2","C:\Program Files (x86)"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","3","C:\Users\enrik\AppData\Local"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","4","C:\Users\enrik\AppData\Local\Programs"
"REVIEW","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","5","C:\Users\enrik\AppData\Roaming"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","29","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\distutils-precedence.pth"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","30","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\_virtualenv.pth"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","31","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\__editable__.hermes_agent-0.18.2.pth"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","32","C     C:\Users\enrik\AppData\Local\FortniteGame\Intermediate\PipInstall\Lib\site-packages\learning_agents.pth"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","33","C     C:\Users\enrik\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\site-packages\distutils-preceden…"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","34","C     C:\Users\enrik\.cache\huggingface\hub\models--hexgrad--Kokoro-82M\snapshots\f3ff3571791e39611d31c381e3a41a3af07b498…"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","35","C     C:\Users\enrik\AppData\Local\uv\cache\archive-v0\KTY55-bOFPDUZYqo\__editable__.hermes_agent-0.18.2.pth"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","36","C     C:\Users\enrik\AppData\Local\uv\cache\archive-v0\sx7BjHkbJPbjYW_c\pywin32.pth"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","37","C     C:\Users\enrik\AppData\Local\uv\cache\archive-v0\T9yQXqrMKKRAEI9v\distutils-precedence.pth"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","38","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\site-packages\distutils-precedence…"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","39","C     C:\Users\enrik\lib\oracle-cli\Lib\site-packages\distutils-precedence.pth"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","40","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\google_generativeai-0.8.6-py3.13-nspkg.pth"
"PYTHON_RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","41","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\pywin32.pth"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","42","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\ensurepip\_bundled\pip-24.0-py3-no…"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","43","C     C:\Users\enrik\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\ensurepip\_bundled\pip-25.0.1-py…"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","44","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.14.5-windows-x86_64-none\Lib\ensurepip\_bundled\pip-26.1.1-py3-n…"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","45","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\ensurepip\_bundled\setuptools-79.0…"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","46","C     C:\Users\enrik\AppData\Local\uv\cache\sdists-v9\editable\5f1b90d7dff4884f\tNCA1-J7jrw8IJgB\hermes_agent-0.18.2-0.ed…"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","47","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20317442\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","48","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20317696\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","49","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20317440\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","50","C     C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20316928\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","51","C     C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20317442\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","52","C     C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20317440\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","53","C     C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20317696\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","54","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20316928\files\160_E658700.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","55","C     C:\Users\enrik\AppData\Local\Ubisoft\Rainbow Six - Siege\ekshadersPCDX12_cache.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","56","C     C:\ProgramData\Microsoft\Windows Defender\Scans\mpcache-4115FABF84F9EC04AA50BCD085F3FA4164073629.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","57","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131529\files\160_B9FACDC.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","58","C     C:\Users\enrik\AppData\Local\zen\Profiles\45jchyg8.Default (release)\startupCache\scriptCache-current.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","59","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131529\files\160_B9C3560.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","60","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131529\files\160_B9BF564.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","61","C     C:\Users\enrik\AppData\Local\zen\Profiles\45jchyg8.Default (release)\startupCache\scriptCache.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","62","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131599\files\160_B9CF688.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","63","C     C:\Users\enrik\AppData\Local\librewolf\Profiles\v46y8z83.default-default\startupCache\scriptCache-current.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","64","C     C:\Users\enrik\AppData\Local\librewolf\Profiles\v46y8z83.default-default\startupCache\scriptCache.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","65","C     C:\Users\enrik\AppData\Local\NVIDIA\GLCache\770f4fef79200de23d313865e4691c0d\186620256eaaf137\c6e976b0770384dd.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","66","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66157\files\160_B9DAE68.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","67","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131356\files\160_B9D3EF0.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","68","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66157\files\160_B9D8C54.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","69","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131356\files\160_B9B0430.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","70","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66157\files\160_E99B5EC.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","71","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131357\files\160_B9F5618.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","72","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131356\files\160_F7361DC.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","73","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131356\files\160_B9E26B0.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","74","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66158\files\160_B9D2F5C.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","75","C     C:\ProgramData\NVIDIA\NGX\models\dlssg\versions\20317442\files\160_E658700.bin"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","76","C     C:\Users\enrik\AppData\Roaming\Netease\Mpay\MWSlocalStorage\ngwebview_x20_steam\OnDeviceHeadSuggestModel\20251024.8…"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","77","C     C:\Users\enrik\AppData\Local\BraveSoftware\Brave-Browser\User Data\OnDeviceHeadSuggestModel\20251024.824731831.14\c…"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","78","C     C:\ProgramData\NVIDIA\NGX\models\dlssg\versions\20317440\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","79","C     C:\ProgramData\NVIDIA\NGX\models\dlssg\versions\20316928\files\160_E658700.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","80","C     C:\ProgramData\NVIDIA\NGX\models\dlssg\versions\20317696\files\160_E658700.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","81","C     C:\Users\enrik\AppData\Local\Epic Games\EOSOverlay\BrowserCache\0\OnDeviceHeadSuggestModel\20251024.824731831.14\cr…"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","82","C     C:\Users\enrik\AppData\Local\Epic Games\EOSOverlay\BrowserCache\1\OnDeviceHeadSuggestModel\20251024.824731831.14\cr…"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","83","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66410\files\160_B9DF510.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","84","C     C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\66405\files\160_B9DF510.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","85","C     C:\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20260813-150935-00000003-fffffffeffffffff.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","86","C     C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\20316160\files\160_E658703.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","87","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FF4BC.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","88","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FEB50.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","89","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FD6C0.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","90","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FD524.bin"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","91","C     C:\ProgramData\Microsoft\Windows Defender\Scans\History\CacheManager\4DFA38B3-8A46-47A1-BBD4-AAAE337F8EDE-0.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","92","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9DB4F4.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","93","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9CB0B8.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","94","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9DFA64.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","95","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9D48D0.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","96","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9D7388.bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","97","C     C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9D6F08.bin"
